Timestamp,Do you agree to participate in this survey?,1. Your Location,2. Your Region/State,3. What is your age group?,4. What is your approximate monthly household income?(MMK),5. What is the highest level of education you have completed?,6. How often do you use single-use plastic items in your weekly life?,7.Which of the following single-use plastic items do you usually use in your weekly life?,8. Where do you usually get your single-use plastic from?,9. How many plastic bags do you usually get from shops or markets in your weekly life?,"10. When buying street food or market food, how often does it come in plastic?","11. Compared to what you see outside (litter, packaging, shops), do you think you personally use:",12. What do you often do with your plastic waste after you use the product?,13. What do you think happens to the plastic you throw in the bin in your region?,14. How aware are you that plastic production and disposal contributes to climate change?,15. Do you believe current plastic usage in Myanmar is contributing to climate change?,16. When do you think the effects of today’s plastic usage on climate change will become noticeable?,17. Would you support reducing single-use plastics or replacing them with alternatives?,18. Do you think that plastic waste is burned?,19. What percentage of plastic waste do you think is burned?,20. Do you think that plastic waste usually ends up in a landfill site?,21. What percentage of plastic waste ends up in a landfill or dumping ground?,22. How do you think plastic waste in landfills and open burning affects climate change?
2/12/2026 18:17:24,Yes,Rural,Magway,26-35,"Less than 300,000",University/College,6-10,"Plastic bags, Bottled water, Food sachets","Supermarkets, Local markets, Street Vendors, Coffee/tea shops",6-10,Always,Much more plastic than others,"Throw in bin, Reuse",I don’t know,Somewhat aware,Yes,More than 10 years,Strongly support,No,About half (26%-50%),Yes,51%-75%,Not sure
2/13/2026 8:45:28,Yes,Urban,Yangon,26-35,"600,001-1,000,000",University/College,1-2,Plastic bags,Local markets,1-2,Always,A little more,Reuse,Burned,Very aware,Yes,More than 10 years,Support,No,Less than half (1%-25%),Not sure,Less than 25%,Increases the Earth’s temperature
2/13/2026 14:03:20,Yes,Prefer not to say,Magway,Over 50,"300,000-600,000",High school,3-5,"Plastic bags, Bottled water, Food sachets","Local markets, Street Vendors, Food Delivery",6-10,Always,Much more plastic than others,Throw in bin,I don’t know,Slightly aware,Yes,Within 3-5 years,Neutral,No,About half (26%-50%),No,51%-75%,Increases the Earth’s temperature
2/14/2026 9:22:35,Yes,Urban,Yangon,26-35,"More than 1,000,000",University/College,3-5,"Plastic bags, Plastic containers, Plastic straws, Food sachets, ","Supermarkets, Local markets, Street Vendors, Food Delivery, Online Delivery, Coffee/tea shops, ",1-2,Always,About the same,"Throw in bin, Reuse",Ends up in landfills,Very aware,Yes,Already visible now,Strongly support,No,Less than half (1%-25%),Yes,51%-75%,Pollutes soil/water
2/16/2026 12:49:34,Yes,Semi-urban,Yangon,18-25,"600,001-1,000,000",University/College,3-5,"Plastic bags, Bottled water, Plastic containers, Plastic straws, Food sachets","Supermarkets, Local markets, Street Vendors, Coffee/tea shops, Plastic water bottles which is given by hotels. I'm from hotel industry. Mostly, I don't buy myself those bottles cuz I can take those freely from my job.",3-5,Always,Much less than others,"Recycle, Reuse",I don’t know,Slightly aware,Yes,Not sure,Strongly support,No,Not applicable,Not sure,Not sure,Pollutes soil/water
2/17/2026 12:23:41,Yes,Urban,Mandalay,18-25,No income,High school,3-5,Plastic bags,Street Vendors,3-5,Always,Less than others,Throw in bin,I don’t know,Somewhat aware,Yes,Already visible now,Strongly support,No,Less than half (1%-25%),Yes,51%-75%,Pollutes soil/water
2/19/2026 20:37:29,Yes,Urban,,18-25,No income,University/College,More than 10,"Plastic bags, Bottled water, Plastic straws","Supermarkets, Local markets, Street Vendors, Food Delivery, Online Delivery, Coffee/tea shops",6-10,Never,About the same,Throw in bin,Ends up in rivers,Very aware,Yes,Already visible now,Strongly support,No,Not applicable,Yes,51%-75%,Increases the Earth’s temperature
2/13/2026 14:03:20,Yes,Urban,Yangon,18-25,"300,000-600,000",University/College,3-5,"Plastic bags, Bottled water, Plastic straws","Local markets, Street Vendors",0,Always,About the same,Throw in bin,Ends up in landfills,Very aware,Yes,Already visible now,Strongly support,Yes,About half (26%-50%),Yes,51%-75%,Release GHG
2/14/2026 9:22:35,Yes,Semi-urban,Mandalay,18-25,"Less than 300,000",High school,6-10,"Plastic bags, Food sachets","Supermarkets, Local markets, Food Delivery",3-5,Always,About the same,Throw in bin,Ends up in landfills,Somewhat aware,Yes,Already visible now,Support,Yes,More than half (51%-75%),Yes,More than 75%,Increases the Earth’s temperature
2/16/2026 12:49:34,Yes,Urban,Ayeyarwady,26-35,No income,University/College,1-2,"Plastic bags, Bottled water, Plastic containers, Food sachets","Local markets, Coffee/tea shops",3-5,Sometimes,Less than others,Reuse,I don’t know,Very aware,Not Sure,Within 6-10 years,Strongly support,No,Less than half (1%-25%),Not sure,25%-50%,Release GHG
2/17/2026 12:23:41,Yes,Rural,Shan,18-25,"600,001-1,000,000",Postgraduate,More than 10,Plastic bags,Street Vendors,3-5,Always,About the same,Recycle,Ends up in rivers,Neutral,Yes,Already visible now,Strongly support,Yes,More than half (51%-75%),Yes,Not sure,Pollutes soil/water
2/19/2026 20:37:29,Yes,Urban,Bago,18-25,"300,000-600,000",Vocational Training,3-5,"Bottled water, Plastic straws, Disposable forks","Supermarkets, Food Delivery, Online Delivery",3-5,Always,About the same,Throw in bin,Ends up in landfills,Somewhat aware,Yes,Not sure,Neutral,Yes,Almost all of it (76%-100%),Yes,51%-75%,Release GHG
2/13/2026 14:03:20,Yes,Urban,Magway,36-50,"More than 1,000,000",High school,6-10,"Plastic bags, Plastic containers","Local markets, Street Vendors, Coffee/tea shops",0,Sometimes,A little more,Throw in bin,Burned,Very aware,Yes,Already visible now,Support,Yes,Less than half (1%-25%),No,More than 75%,Not sure
2/14/2026 9:22:35,Yes,Semi-urban,Sagaing,26-35,"Less than 300,000",University/College,1-2,"Plastic bags, Bottled water, Food sachets","Supermarkets, Local markets",6-10,Always,Less than others,Reuse,Ends up in landfills,Very aware,No,Already visible now,Strongly support,Yes,About half (26%-50%),Yes,Less than 25%,Release GHG
2/16/2026 12:49:34,Yes,Prefer not to say,Mon,18-25,"300,000-600,000",Middle school,3-5,"Plastic bags, Plastic containers, Plastic straws","Food Delivery, Coffee/tea shops",3-5,Always,About the same,Throw in bin,Ends up in landfills,Slightly aware,Yes,Within 3-5 years,Strongly support,No,More than half (51%-75%),Yes,51%-75%,Increases the Earth’s temperature
2/17/2026 12:23:41,Yes,Urban,Rakhine,18-25,Prefer not to say,University/College,0,"Bottled water, Food sachets",Local markets,1-2,Always,About the same,Throw in bin,I don’t know,Somewhat aware,Yes,Already visible now,Support,Yes,Less than half (1%-25%),Yes,25%-50%,Pollutes soil/water
2/19/2026 20:37:29,Yes,Rural,Kayin,Over 50,No income,High school,6-10,"Plastic bags, Bottled water, Plastic containers, Plastic straws, Disposable forks, Food sachets","Supermarkets, Local markets, Street Vendors, Food Delivery, Online Delivery, Coffee/tea shops",1-2,Sometimes,Less than others,Recycle,Recycled,Very aware,Not Sure,Already visible now,Strongly support,Yes,About half (26%-50%),Not sure,Not sure,Release GHG
